SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;L D SP;TRAC %;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;L/Hr;L/100K;
1331 ;0:12.20 ;4116 ;7 ;96;33;73;0.818 ;17.1 ;20.0 ;1 ;13.4 ;16 ;4.32 ;25.3 ;0 ;0 ;6.6;41.2;
1331 ;0:12.30 ;3838 ;8 ;96;33;75;0.781 ;16.7 ;18.6 ;0 ;13.5 ;11 ;4.10 ;24.3 ;0 ;0 ;5.9;35.3;
1331 ;0:12.40 ;3432 ;8 ;96;33;74;0.767 ;17.4 ;16.6 ;0 ;13.4 ;-4 ;3.91 ;22.7 ;0 ;0 ;5.1;29.3;
1331 ;0:12.50 ;3770 ;8 ;96;33;72;0.756 ;18.9 ;18.3 ;0 ;13.1 ;-3 ;4.07 ;24.0 ;0 ;0 ;5.9;31.2;
1331 ;0:12.60 ;4224 ;10 ;96;34;71;0.737 ;17.0 ;20.5 ;5 ;13.6 ;20 ;4.18 ;29.1 ;0 ;0 ;6.7;39.4;
1331 ;0:12.70 ;4359 ;10 ;95;34;71;0.754 ;17.8 ;21.1 ;3 ;13.5 ;18 ;4.18 ;30.4 ;0 ;0 ;6.9;38.7;
1331 ;0:12.80 ;4445 ;10 ;95;34;71;0.808 ;19.4 ;21.8 ;0 ;13.3 ;12 ;4.18 ;31.3 ;0 ;0 ;7.1;36.5;
1331 ;0:12.90 ;4489 ;10 ;95;34;72;0.801 ;18.8 ;21.8 ;0 ;13.5 ;15 ;4.18 ;31.7 ;0 ;0 ;7.1;39.4;
1331 ;0:13.00 ;4773 ;11 ;95;34;73;0.772 ;18.7 ;23.2 ;9 ;13.6 ;24 ;4.17 ;35.5 ;0 ;0 ;7.5;40.1;
1331 ;0:13.10 ;4848 ;17 ;95;34;76;0.739 ;17.6 ;23.5 ;18 ;13.5 ;33 ;3.72 ;36.6 ;0 ;0 ;6.6;37.5;
1331 ;0:13.20 ;4652 ;18 ;95;34;76;0.868 ;17.0 ;22.6 ;17 ;13.6 ;32 ;3.62 ;34.6 ;0 ;0 ;6.3;37.0;
1331 ;0:13.30 ;4833 ;18 ;95;34;76;0.930 ;17.3 ;23.4 ;20 ;13.3 ;35 ;3.62 ;35.9 ;0 ;0 ;6.6;38.1;
1331 ;0:13.40 ;4060 ;17 ;95;34;76;0.919 ;17.4 ;19.7 ;0 ;13.4 ;13 ;3.73 ;30.4 ;0 ;0 ;5.7;32.7;
1331 ;0:13.50 ;3956 ;13 ;95;34;70;0.938 ;17.5 ;19.2 ;0 ;13.7 ;9 ;4.16 ;30.0 ;0 ;0 ;6.2;35.4;
1331 ;0:13.60 ;4161 ;7 ;95;34;66;0.927 ;18.4 ;20.2 ;0 ;13.7 ;9 ;4.32 ;25.7 ;0 ;0 ;6.8;36.9;
