SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;L D SP;TRAC %;VOLTS;SLIP%;INJ;ADV;SHIF A;
1361 ;31:16,50 ;7988 ;21 ;97;27;58;0,750 ;39,4 ;38,8 ;0 ;12,5 ;-1 ;3,08 ;56,9 ;0 ;
1361 ;31:16,60 ;7988 ;21 ;97;27;58;0,750 ;39,4 ;38,8 ;0 ;12,5 ;-1 ;3,08 ;56,9 ;0 ;
1361 ;31:16,70 ;7802 ;20 ;97;27;57;0,776 ;37,5 ;37,9 ;0 ;12,3 ;1 ;3,06 ;56,3 ;0 ;
1361 ;31:16,80 ;7802 ;20 ;97;27;57;0,776 ;37,5 ;37,9 ;0 ;12,3 ;1 ;3,06 ;56,3 ;0 ;
1361 ;31:16,90 ;7951 ;20 ;97;27;57;0,777 ;37,1 ;38,6 ;0 ;12,4 ;4 ;3,01 ;57,1 ;0 ;
1361 ;31:17,00 ;7951 ;20 ;97;27;57;0,777 ;37,1 ;38,6 ;0 ;12,4 ;4 ;3,01 ;57,1 ;0 ;
1361 ;31:17,10 ;7809 ;17 ;97;27;59;0,789 ;36,9 ;37,9 ;0 ;12,4 ;2 ;2,89 ;57,4 ;0 ;
1361 ;31:17,20 ;7809 ;17 ;97;27;59;0,789 ;36,9 ;37,9 ;0 ;12,4 ;2 ;2,89 ;57,4 ;0 ;
1361 ;31:17,30 ;7318 ;17 ;97;27;61;0,810 ;34,7 ;35,5 ;0 ;12,2 ;2 ;3,01 ;55,0 ;0 ;
1361 ;31:17,40 ;7318 ;17 ;97;27;61;0,810 ;34,7 ;35,5 ;0 ;12,2 ;2 ;3,01 ;55,0 ;0 ;
1361 ;31:17,50 ;7261 ;17 ;97;27;63;0,815 ;37,0 ;35,3 ;0 ;12,4 ;-4 ;3,02 ;54,7 ;0 ;
1361 ;31:17,60 ;7261 ;17 ;97;27;63;0,815 ;37,0 ;35,3 ;0 ;12,4 ;-4 ;3,02 ;54,7 ;0 ;
1361 ;31:17,70 ;7102 ;18 ;97;27;66;0,815 ;35,6 ;34,5 ;0 ;12,4 ;-3 ;3,08 ;53,2 ;0 ;
1361 ;31:17,80 ;7102 ;18 ;97;27;66;0,815 ;35,6 ;34,5 ;0 ;12,4 ;-3 ;3,08 ;53,2 ;0 ;
1361 ;31:17,90 ;6954 ;18 ;97;27;70;0,843 ;35,3 ;33,8 ;0 ;12,5 ;-4 ;3,11 ;52,1 ;0 ;
1361 ;31:18,00 ;6954 ;18 ;97;27;70;0,843 ;35,3 ;33,8 ;0 ;12,5 ;-4 ;3,11 ;52,1 ;0 ;
1361 ;31:18,10 ;7038 ;29 ;97;27;74;0,842 ;31,5 ;34,2 ;0 ;12,4 ;8 ;3,69 ;48,7 ;0 ;
1361 ;31:18,20 ;7038 ;29 ;97;27;74;0,842 ;31,5 ;34,2 ;0 ;12,4 ;8 ;3,69 ;48,7 ;0 ;
