SESSION; TIME;RPM;THROT;LAMB;L U SP;L D SP;SLIP%;SHIF A;
152 ;0:02.43 ;2416 ;0 ;0.869 ;1.5 ;0.0 ;0 ;0 ;
152 ;0:02.44 ;2432 ;0 ;0.865 ;1.5 ;0.0 ;0 ;0 ;
152 ;0:02.45 ;2423 ;0 ;0.868 ;1.5 ;0.0 ;0 ;0 ;
152 ;0:02.46 ;2423 ;0 ;0.858 ;1.5 ;0.0 ;0 ;0 ;
152 ;0:02.47 ;2395 ;0 ;0.862 ;1.5 ;0.0 ;0 ;0 ;
152 ;0:02.48 ;2398 ;0 ;0.850 ;1.5 ;0.0 ;0 ;0 ;
152 ;0:02.49 ;2434 ;0 ;0.849 ;1.5 ;0.0 ;0 ;0 ;
152 ;0:02.50 ;2464 ;0 ;0.850 ;1.5 ;0.0 ;0 ;0 ;
152 ;0:02.51 ;2464 ;0 ;0.842 ;1.5 ;0.0 ;0 ;0 ;
152 ;0:02.52 ;2508 ;0 ;0.849 ;1.5 ;0.0 ;0 ;0 ;
152 ;0:02.53 ;2571 ;0 ;0.848 ;1.5 ;0.0 ;0 ;0 ;
152 ;0:02.54 ;2555 ;0 ;0.853 ;1.5 ;0.0 ;0 ;0 ;
152 ;0:02.55 ;2512 ;0 ;0.849 ;1.4 ;0.0 ;0 ;0 ;
152 ;0:02.56 ;2552 ;0 ;0.849 ;1.4 ;0.0 ;0 ;0 ;
152 ;0:02.57 ;2552 ;0 ;0.843 ;1.4 ;0.0 ;0 ;0 ;
152 ;0:02.58 ;2620 ;0 ;0.844 ;1.4 ;0.0 ;0 ;0 ;
152 ;0:02.59 ;2689 ;0 ;0.849 ;1.4 ;0.0 ;0 ;0 ;
152 ;0:02.60 ;2736 ;0 ;0.847 ;1.4 ;0.0 ;0 ;0 ;
152 ;0:02.61 ;2726 ;0 ;0.851 ;1.4 ;0.0 ;0 ;0 ;
152 ;0:02.62 ;2740 ;0 ;0.847 ;1.4 ;0.0 ;0 ;0 ;
152 ;0:02.63 ;2713 ;0 ;0.851 ;1.4 ;0.0 ;0 ;0 ;
152 ;0:02.64 ;2664 ;0 ;0.847 ;1.4 ;0.0 ;0 ;0 ;
152 ;0:02.65 ;2687 ;0 ;0.847 ;1.4 ;0.0 ;0 ;0 ;
