SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;L D SP;TAR LB;TRAC %;SLIP%;INJ;ADV;GEAR;
451 ;0:15.90 ;7700 ;25 ;87;11;67;0.736 ;50.9 ;37.4 ;0.850 ;0 ;-26 ;5.49 ;54.3 ;1 ;
451 ;0:16.00 ;7668 ;25 ;87;11;66;0.742 ;51.7 ;37.2 ;0.850 ;0 ;-28 ;5.47 ;54.2 ;1 ;
451 ;0:16.10 ;7656 ;24 ;87;11;65;0.734 ;53.3 ;37.2 ;0.850 ;0 ;-30 ;5.39 ;54.4 ;1 ;
451 ;0:16.20 ;7625 ;23 ;87;11;65;0.740 ;52.4 ;36.8 ;0.850 ;0 ;-29 ;5.31 ;54.6 ;1 ;
451 ;0:16.30 ;7548 ;23 ;87;11;65;0.757 ;52.0 ;36.6 ;0.850 ;0 ;-29 ;5.27 ;54.3 ;1 ;
451 ;0:16.40 ;7551 ;23 ;87;11;65;0.757 ;47.4 ;36.7 ;0.850 ;0 ;-22 ;5.27 ;54.3 ;1 ;
451 ;0:16.50 ;7631 ;24 ;87;11;66;0.740 ;52.1 ;37.0 ;0.850 ;0 ;-28 ;5.38 ;54.3 ;1 ;
451 ;0:16.60 ;7554 ;24 ;87;11;65;0.770 ;53.3 ;36.7 ;0.850 ;0 ;-31 ;5.34 ;54.1 ;1 ;
451 ;0:16.70 ;7518 ;24 ;87;11;65;0.751 ;52.2 ;36.5 ;0.850 ;0 ;-30 ;5.32 ;53.9 ;1 ;
451 ;0:16.80 ;7894 ;23 ;88;11;64;0.782 ;51.7 ;38.1 ;0.850 ;0 ;-26 ;5.45 ;55.6 ;1 ;
451 ;0:16.90 ;7668 ;23 ;88;11;64;0.797 ;50.7 ;37.2 ;0.850 ;0 ;-26 ;5.33 ;54.8 ;1 ;
451 ;0:17.00 ;7700 ;23 ;88;11;63;0.784 ;51.7 ;37.7 ;0.850 ;0 ;-27 ;5.38 ;55.2 ;1 ;
451 ;0:17.10 ;7825 ;23 ;88;11;63;0.820 ;52.3 ;38.0 ;0.850 ;0 ;-27 ;5.42 ;55.5 ;1 ;
451 ;0:17.20 ;7751 ;23 ;88;11;62;0.910 ;50.9 ;37.6 ;0.850 ;0 ;-26 ;5.38 ;55.2 ;1 ;
451 ;0:17.30 ;7783 ;23 ;88;11;62;1.014 ;50.5 ;37.8 ;0.850 ;0 ;-25 ;5.39 ;55.3 ;1 ;
451 ;0:17.40 ;7754 ;22 ;88;11;60;1.048 ;51.8 ;37.6 ;0.850 ;0 ;-27 ;5.31 ;55.5 ;1 ;
451 ;0:17.50 ;7809 ;20 ;88;11;58;1.037 ;54.1 ;37.9 ;0.850 ;0 ;-29 ;5.20 ;56.4 ;1 ;
451 ;0:17.60 ;7965 ;19 ;88;11;56;1.028 ;53.4 ;38.8 ;0.850 ;0 ;-27 ;5.24 ;57.6 ;1 ;
451 ;0:17.70 ;8138 ;17 ;88;11;53;1.024 ;53.6 ;39.4 ;0.850 ;0 ;-26 ;4.92 ;57.9 ;1 ;
451 ;0:17.80 ;8159 ;14 ;88;11;51;1.032 ;58.2 ;39.8 ;0.850 ;0 ;-31 ;4.22 ;59.3 ;1 ;
