SESSION; TIME;RPM;THROT;LAMB;L U SP;L D SP;INJ;
1066 ;0:01.13 ;3265 ;0 ;0.900 ;16.7 ;0.0 ;3.35 ;
1066 ;0:01.14 ;3283 ;0 ;0.904 ;15.7 ;0.0 ;3.35 ;
1066 ;0:01.15 ;3269 ;0 ;0.908 ;15.7 ;0.0 ;3.35 ;
1066 ;0:01.16 ;3165 ;0 ;0.914 ;16.6 ;0.0 ;3.35 ;
1066 ;0:01.17 ;3092 ;0 ;0.915 ;16.6 ;0.0 ;3.35 ;
1066 ;0:01.18 ;3076 ;0 ;0.918 ;16.5 ;0.0 ;3.35 ;
1066 ;0:01.19 ;3119 ;0 ;0.919 ;16.3 ;0.0 ;3.35 ;
1066 ;0:01.20 ;3137 ;0 ;0.920 ;16.3 ;0.0 ;3.35 ;
1066 ;0:01.21 ;3158 ;0 ;0.922 ;16.4 ;0.0 ;3.35 ;
1066 ;0:01.22 ;3166 ;0 ;0.922 ;16.4 ;0.0 ;3.35 ;
1066 ;0:01.23 ;3120 ;0 ;0.923 ;16.3 ;0.0 ;3.35 ;
1066 ;0:01.24 ;3036 ;0 ;0.924 ;16.3 ;0.0 ;3.35 ;
