SESSION; TIME;RPM;THROT;LAMB;TAR LB;INJ;INJ %;
399 ;2:02.14 ;6885 ;21 ;0.746 ;0.850 ;4.90 ;28 ;
399 ;2:02.15 ;6916 ;21 ;0.747 ;0.850 ;4.88 ;28 ;
399 ;2:02.16 ;6906 ;21 ;0.744 ;0.850 ;4.88 ;28 ;
399 ;2:02.17 ;6788 ;21 ;0.745 ;0.850 ;4.97 ;28 ;
399 ;2:02.18 ;6732 ;21 ;0.745 ;0.850 ;5.01 ;28 ;
399 ;2:02.19 ;6710 ;21 ;0.748 ;0.850 ;5.02 ;28 ;
399 ;2:02.20 ;6781 ;21 ;0.717 ;0.850 ;4.98 ;28 ;
399 ;2:02.21 ;6980 ;21 ;0.721 ;0.850 ;4.83 ;28 ;
399 ;2:02.22 ;6965 ;21 ;0.720 ;0.850 ;4.84 ;28 ;
399 ;2:02.23 ;6959 ;21 ;0.722 ;0.850 ;4.84 ;28 ;
399 ;2:02.24 ;6996 ;21 ;0.718 ;0.850 ;4.82 ;28 ;
399 ;2:02.25 ;6983 ;21 ;0.721 ;0.850 ;4.83 ;28 ;
399 ;2:02.26 ;6970 ;21 ;0.722 ;0.850 ;4.84 ;28 ;
399 ;2:02.27 ;6934 ;21 ;0.716 ;0.850 ;4.86 ;28 ;
399 ;2:02.28 ;6998 ;21 ;0.723 ;0.850 ;4.82 ;28 ;
399 ;2:02.29 ;6996 ;21 ;0.718 ;0.850 ;4.82 ;28 ;
399 ;2:02.30 ;6959 ;21 ;0.720 ;0.850 ;4.84 ;28 ;
399 ;2:02.31 ;6833 ;21 ;0.720 ;0.850 ;4.94 ;28 ;
399 ;2:02.32 ;6771 ;21 ;0.723 ;0.850 ;4.98 ;28 ;
399 ;2:02.33 ;6820 ;21 ;0.718 ;0.850 ;4.95 ;28 ;
399 ;2:02.34 ;6913 ;21 ;0.719 ;0.850 ;4.88 ;28 ;
399 ;2:02.35 ;6835 ;21 ;0.724 ;0.850 ;4.94 ;28 ;
399 ;2:02.36 ;6828 ;21 ;0.718 ;0.850 ;4.95 ;28 ;
399 ;2:02.37 ;6903 ;21 ;0.720 ;0.850 ;4.88 ;28 ;
399 ;2:02.38 ;6890 ;21 ;0.718 ;0.850 ;4.89 ;28 ;
399 ;2:02.39 ;6880 ;21 ;0.724 ;0.850 ;4.90 ;28 ;
399 ;2:02.40 ;7064 ;21 ;0.717 ;0.850 ;4.84 ;28 ;
399 ;2:02.41 ;7040 ;21 ;0.722 ;0.850 ;4.83 ;28 ;
399 ;2:02.42 ;6988 ;21 ;0.722 ;0.850 ;4.82 ;28 ;
399 ;2:02.43 ;6947 ;21 ;0.716 ;0.850 ;4.86 ;28 ;
399 ;2:02.44 ;6908 ;21 ;0.716 ;0.850 ;4.88 ;28 ;
399 ;2:02.45 ;6898 ;21 ;0.713 ;0.850 ;4.89 ;28 ;
399 ;2:02.46 ;6798 ;21 ;0.713 ;0.850 ;4.96 ;28 ;
399 ;2:02.47 ;6890 ;21 ;0.709 ;0.850 ;4.89 ;28 ;
399 ;2:02.48 ;7048 ;21 ;0.716 ;0.850 ;4.83 ;28 ;
399 ;2:02.49 ;7118 ;21 ;0.712 ;0.850 ;4.88 ;29 ;
399 ;2:02.50 ;7046 ;21 ;0.712 ;0.850 ;4.83 ;28 ;
399 ;2:02.51 ;6978 ;21 ;0.716 ;0.850 ;4.83 ;28 ;
399 ;2:02.52 ;6931 ;21 ;0.711 ;0.850 ;4.86 ;28 ;
399 ;2:02.53 ;7075 ;21 ;0.713 ;0.850 ;4.85 ;28 ;
399 ;2:02.54 ;7075 ;21 ;0.712 ;0.850 ;4.85 ;28 ;
399 ;2:02.55 ;7019 ;21 ;0.712 ;0.850 ;4.82 ;28 ;
399 ;2:02.56 ;6870 ;21 ;0.709 ;0.850 ;4.92 ;28 ;
399 ;2:02.57 ;6732 ;21 ;0.716 ;0.850 ;5.01 ;28 ;
399 ;2:02.58 ;6691 ;21 ;0.713 ;0.850 ;5.04 ;28 ;
399 ;2:02.59 ;6830 ;21 ;0.708 ;0.850 ;4.94 ;28 ;
399 ;2:02.60 ;6815 ;21 ;0.712 ;0.850 ;4.95 ;28 ;
399 ;2:02.61 ;6926 ;21 ;0.708 ;0.850 ;4.87 ;29 ;
399 ;2:02.62 ;7104 ;21 ;0.708 ;0.850 ;4.87 ;29 ;
399 ;2:02.63 ;7107 ;21 ;0.705 ;0.850 ;4.87 ;29 ;
399 ;2:02.64 ;7048 ;21 ;0.712 ;0.850 ;4.83 ;28 ;
399 ;2:02.65 ;6967 ;21 ;0.703 ;0.850 ;4.84 ;28 ;
399 ;2:02.66 ;6893 ;21 ;0.709 ;0.850 ;4.89 ;28 ;
399 ;2:02.67 ;6898 ;21 ;0.710 ;0.850 ;4.89 ;28 ;
399 ;2:02.68 ;6903 ;21 ;0.706 ;0.850 ;4.88 ;28 ;
399 ;2:02.69 ;6926 ;21 ;0.708 ;0.850 ;4.87 ;28 ;
399 ;2:02.70 ;6949 ;21 ;0.707 ;0.850 ;4.85 ;28 ;
399 ;2:02.71 ;6898 ;21 ;0.710 ;0.850 ;4.89 ;28 ;
399 ;2:02.72 ;7017 ;21 ;0.703 ;0.850 ;4.82 ;28 ;
399 ;2:02.73 ;7033 ;21 ;0.712 ;0.850 ;4.82 ;28 ;
399 ;2:02.74 ;7030 ;21 ;0.707 ;0.850 ;4.82 ;28 ;
399 ;2:02.75 ;7033 ;21 ;0.707 ;0.850 ;4.82 ;28 ;
399 ;2:02.76 ;7009 ;21 ;0.710 ;0.850 ;4.81 ;28 ;
399 ;2:02.77 ;6941 ;21 ;0.709 ;0.850 ;4.86 ;28 ;
399 ;2:02.78 ;6949 ;21 ;0.710 ;0.850 ;4.85 ;28 ;
399 ;2:02.79 ;6848 ;21 ;0.709 ;0.850 ;4.93 ;28 ;
399 ;2:02.80 ;6810 ;21 ;0.714 ;0.850 ;4.96 ;28 ;
