SESSION; TIME;RPM;THROT;LAMB;L U SP;L D SP;TAR LB;SLIP%;INJ;ADV;LAUC S;SHIF A;INJ %;L/100K;
147 ;1:13.70 ;3272 ;0 ;0.913 ;10.8 ;0.0 ;0.900 ;0 ;2.66 ;8.8 ;0 ;0 ;7 ;29.3;
147 ;1:13.80 ;3171 ;0 ;0.915 ;11.2 ;0.0 ;0.900 ;0 ;2.64 ;8.5 ;0 ;0 ;6 ;27.6;
147 ;1:13.90 ;3225 ;0 ;0.919 ;10.7 ;0.0 ;0.900 ;0 ;2.65 ;8.6 ;0 ;0 ;7 ;28.5;
147 ;1:14.00 ;3202 ;0 ;0.912 ;12.1 ;0.0 ;0.900 ;0 ;2.64 ;8.6 ;0 ;0 ;7 ;29.5;
147 ;1:14.10 ;3196 ;0 ;0.933 ;10.9 ;0.0 ;0.900 ;0 ;2.64 ;8.5 ;0 ;0 ;7 ;27.3;
147 ;1:14.20 ;3189 ;0 ;0.926 ;11.4 ;0.0 ;0.900 ;0 ;2.64 ;8.5 ;0 ;0 ;7 ;25.4;
147 ;1:14.30 ;3036 ;0 ;0.926 ;12.1 ;0.0 ;0.900 ;0 ;2.61 ;8.1 ;0 ;0 ;6 ;26.5;
147 ;1:14.40 ;3060 ;0 ;0.934 ;11.5 ;0.0 ;0.900 ;0 ;2.62 ;8.1 ;0 ;0 ;6 ;24.7;
147 ;1:14.50 ;3057 ;0 ;0.950 ;11.8 ;0.0 ;0.900 ;0 ;2.62 ;8.1 ;0 ;0 ;6 ;23.9;
147 ;1:14.60 ;3013 ;0 ;0.982 ;12.0 ;0.0 ;0.900 ;0 ;2.61 ;8.0 ;0 ;0 ;6 ;23.2;
147 ;1:14.70 ;3006 ;0 ;1.009 ;12.0 ;0.0 ;0.900 ;0 ;2.61 ;8.0 ;0 ;0 ;6 ;22.8;
147 ;1:14.80 ;2938 ;0 ;0.994 ;12.4 ;0.0 ;0.900 ;0 ;2.63 ;7.8 ;0 ;0 ;6 ;23.3;
147 ;1:14.90 ;3010 ;0 ;0.993 ;13.5 ;0.0 ;0.900 ;0 ;2.61 ;8.0 ;0 ;0 ;6 ;24.3;
147 ;1:15.00 ;3052 ;0 ;1.001 ;12.0 ;0.0 ;0.900 ;0 ;2.61 ;8.1 ;0 ;0 ;6 ;23.2;
147 ;1:15.10 ;2879 ;0 ;1.012 ;11.8 ;0.0 ;0.900 ;0 ;2.64 ;7.7 ;0 ;0 ;6 ;23.9;
147 ;1:15.20 ;2930 ;0 ;1.024 ;11.5 ;0.0 ;0.900 ;0 ;2.63 ;7.8 ;0 ;0 ;6 ;25.0;
147 ;1:15.30 ;2944 ;0 ;1.024 ;11.3 ;0.0 ;0.900 ;0 ;2.63 ;7.8 ;0 ;0 ;6 ;25.4;
147 ;1:15.40 ;2887 ;0 ;1.021 ;11.1 ;0.0 ;0.900 ;0 ;2.64 ;7.7 ;0 ;0 ;6 ;25.0;
147 ;1:15.50 ;2853 ;0 ;1.027 ;10.7 ;0.0 ;0.900 ;0 ;2.64 ;7.7 ;0 ;0 ;6 ;23.1;
147 ;1:15.60 ;2852 ;0 ;1.022 ;11.3 ;0.0 ;0.900 ;0 ;2.64 ;7.7 ;0 ;0 ;6 ;25.8;
147 ;1:15.70 ;2901 ;0 ;1.011 ;11.7 ;0.0 ;0.900 ;0 ;2.63 ;7.8 ;0 ;0 ;6 ;24.7;
147 ;1:15.80 ;2933 ;0 ;1.029 ;11.6 ;0.0 ;0.900 ;0 ;2.63 ;7.8 ;0 ;0 ;6 ;24.1;
147 ;1:15.90 ;2864 ;0 ;1.024 ;12.6 ;0.0 ;0.900 ;0 ;2.64 ;7.7 ;0 ;0 ;6 ;22.2;
147 ;1:16.00 ;2816 ;0 ;1.013 ;11.6 ;0.0 ;0.900 ;0 ;2.65 ;7.6 ;0 ;0 ;6 ;23.1;
147 ;1:16.10 ;2822 ;0 ;1.008 ;12.5 ;0.0 ;0.900 ;0 ;2.65 ;7.6 ;0 ;0 ;6 ;23.3;
147 ;1:16.20 ;2881 ;0 ;1.005 ;12.4 ;0.0 ;0.900 ;0 ;2.64 ;7.7 ;0 ;0 ;6 ;23.5;
147 ;1:16.30 ;2901 ;0 ;1.005 ;12.6 ;0.0 ;0.900 ;0 ;2.63 ;7.8 ;0 ;0 ;6 ;22.0;
147 ;1:16.40 ;2741 ;0 ;0.994 ;13.0 ;0.0 ;0.900 ;0 ;2.66 ;7.4 ;0 ;0 ;6 ;21.2;
147 ;1:16.50 ;2743 ;0 ;0.953 ;13.4 ;0.0 ;0.900 ;0 ;2.66 ;7.4 ;0 ;0 ;6 ;19.4;
147 ;1:16.60 ;2726 ;0 ;0.928 ;13.2 ;0.0 ;0.900 ;0 ;2.66 ;7.4 ;0 ;0 ;6 ;20.1;
