SESSION; TIME;RPM;THROT;LAMB;L U SP;L D SP;TAR LB;SLIP%;INJ;ADV;SHIF A;INJ %;L/100K;
131 ;0:54.80 ;4172 ;0 ;1.023 ;45.0 ;0.0 ;0.900 ;0 ;2.65 ;11.6 ;0 ;9 ;8.6;
131 ;0:54.90 ;4447 ;0 ;0.993 ;46.8 ;0.0 ;0.900 ;0 ;2.65 ;12.7 ;0 ;9 ;9.3;
131 ;0:55.00 ;4851 ;0 ;0.989 ;51.1 ;0.0 ;0.900 ;0 ;2.65 ;14.4 ;0 ;10 ;9.4;
131 ;0:55.10 ;4976 ;0 ;1.014 ;53.5 ;0.0 ;0.900 ;0 ;2.65 ;14.9 ;0 ;11 ;9.4;
131 ;0:55.20 ;4957 ;0 ;0.950 ;54.9 ;0.0 ;0.900 ;0 ;2.65 ;14.8 ;0 ;11 ;8.7;
131 ;0:55.30 ;4955 ;0 ;0.761 ;53.4 ;0.0 ;0.900 ;0 ;2.65 ;14.8 ;0 ;11 ;9.2;
131 ;0:55.40 ;5052 ;0 ;0.726 ;56.8 ;0.0 ;0.900 ;0 ;2.65 ;15.2 ;0 ;11 ;9.0;
131 ;0:55.50 ;5268 ;0 ;0.759 ;59.3 ;0.0 ;0.900 ;0 ;2.65 ;16.3 ;0 ;11 ;19.4;
131 ;0:55.60 ;5506 ;22 ;0.813 ;59.7 ;0.0 ;0.900 ;0 ;5.53 ;36.6 ;0 ;25 ;22.4;
131 ;0:55.70 ;5425 ;38 ;0.846 ;56.9 ;0.0 ;0.900 ;0 ;6.27 ;34.7 ;0 ;28 ;21.3;
131 ;0:55.80 ;5238 ;41 ;0.806 ;56.4 ;0.0 ;0.900 ;0 ;6.42 ;34.3 ;0 ;28 ;23.1;
131 ;0:55.90 ;5206 ;43 ;1.033 ;56.8 ;0.0 ;0.900 ;0 ;6.46 ;34.3 ;0 ;28 ;24.8;
131 ;0:56.00 ;5417 ;49 ;1.269 ;55.2 ;0.0 ;0.900 ;0 ;6.48 ;34.4 ;0 ;29 ;23.5;
131 ;0:56.10 ;4965 ;49 ;0.916 ;54.1 ;0.0 ;0.900 ;0 ;6.58 ;34.7 ;0 ;27 ;25.9;
131 ;0:56.20 ;5680 ;49 ;0.888 ;52.8 ;0.0 ;0.900 ;0 ;6.41 ;34.1 ;1 ;30 ;24.6;
131 ;0:56.30 ;5381 ;49 ;0.861 ;53.5 ;0.0 ;0.900 ;0 ;6.49 ;34.4 ;0 ;29 ;25.8;
131 ;0:56.40 ;5316 ;49 ;1.126 ;52.1 ;0.0 ;0.900 ;0 ;6.51 ;34.4 ;0 ;29 ;26.4;
131 ;0:56.50 ;5803 ;49 ;1.393 ;50.4 ;0.0 ;0.900 ;0 ;6.37 ;33.9 ;0 ;31 ;26.2;
131 ;0:56.60 ;5047 ;47 ;1.044 ;50.3 ;0.0 ;0.900 ;0 ;6.56 ;34.7 ;0 ;27 ;28.3;
131 ;0:56.70 ;6013 ;46 ;1.069 ;47.3 ;0.0 ;0.900 ;0 ;6.28 ;34.2 ;0 ;31 ;29.0;
131 ;0:56.80 ;5756 ;46 ;1.092 ;47.7 ;0.0 ;0.900 ;0 ;6.35 ;34.2 ;0 ;30 ;28.4;
131 ;0:56.90 ;5552 ;46 ;1.096 ;45.4 ;0.0 ;0.900 ;0 ;6.40 ;34.4 ;0 ;29 ;30.2;
131 ;0:57.00 ;5674 ;46 ;1.212 ;44.7 ;0.0 ;0.900 ;0 ;6.37 ;34.3 ;0 ;30 ;30.3;
131 ;0:57.10 ;5346 ;47 ;0.942 ;43.2 ;0.0 ;0.900 ;0 ;6.48 ;34.4 ;0 ;29 ;34.8;
131 ;0:57.20 ;6618 ;47 ;0.755 ;43.6 ;0.0 ;0.900 ;0 ;5.93 ;39.5 ;1 ;33 ;38.6;
131 ;0:57.30 ;7275 ;47 ;0.748 ;41.6 ;0.0 ;0.900 ;0 ;5.79 ;45.4 ;0 ;35 ;38.9;
