SESSION; TIME;RPM;THROT;LAMB;L U SP;L D SP;SLIP%;INJ;
457 ;0:02.31 ;3541 ;0 ;0.822 ;8.1 ;0.0 ;0 ;2.91 ;
457 ;0:02.32 ;3587 ;0 ;0.820 ;8.1 ;0.0 ;0 ;2.91 ;
457 ;0:02.33 ;3669 ;0 ;0.823 ;8.1 ;0.0 ;0 ;2.90 ;
457 ;0:02.34 ;3711 ;0 ;0.814 ;9.0 ;0.0 ;0 ;2.89 ;
457 ;0:02.35 ;3739 ;0 ;0.819 ;9.0 ;0.0 ;0 ;2.89 ;
457 ;0:02.36 ;3769 ;0 ;0.819 ;9.0 ;0.0 ;0 ;2.89 ;
457 ;0:02.37 ;3817 ;0 ;0.821 ;7.8 ;0.0 ;0 ;2.88 ;
457 ;0:02.38 ;3881 ;0 ;0.813 ;7.8 ;0.0 ;0 ;2.88 ;
457 ;0:02.39 ;3911 ;0 ;0.805 ;7.8 ;0.0 ;0 ;2.87 ;
457 ;0:02.40 ;3960 ;0 ;0.810 ;7.8 ;0.0 ;0 ;2.87 ;
457 ;0:02.41 ;3938 ;0 ;0.803 ;8.4 ;0.0 ;0 ;2.87 ;
457 ;0:02.42 ;3949 ;0 ;0.807 ;8.4 ;0.0 ;0 ;2.87 ;
457 ;0:02.43 ;3993 ;0 ;0.806 ;8.4 ;0.0 ;0 ;2.87 ;
457 ;0:02.44 ;4043 ;0 ;0.807 ;8.2 ;0.0 ;0 ;2.86 ;
457 ;0:02.45 ;4076 ;0 ;0.803 ;8.2 ;0.0 ;0 ;2.86 ;
457 ;0:02.46 ;4128 ;0 ;0.808 ;8.2 ;0.0 ;0 ;2.84 ;
457 ;0:02.47 ;4119 ;0 ;0.808 ;8.2 ;0.0 ;0 ;2.84 ;
457 ;0:02.48 ;4116 ;0 ;0.811 ;8.4 ;0.0 ;0 ;2.84 ;
457 ;0:02.49 ;4160 ;0 ;0.814 ;8.4 ;0.0 ;0 ;2.84 ;
457 ;0:02.50 ;4227 ;0 ;0.805 ;8.4 ;0.0 ;0 ;2.83 ;
457 ;0:02.51 ;4246 ;0 ;0.816 ;8.4 ;0.0 ;0 ;2.83 ;
457 ;0:02.52 ;4277 ;0 ;0.806 ;8.4 ;0.0 ;0 ;2.83 ;
457 ;0:02.53 ;4245 ;0 ;0.814 ;8.4 ;0.0 ;0 ;2.83 ;
457 ;0:02.54 ;4230 ;0 ;0.811 ;8.4 ;0.0 ;0 ;2.83 ;
457 ;0:02.55 ;4290 ;0 ;0.820 ;8.7 ;0.0 ;0 ;2.83 ;
457 ;0:02.56 ;4316 ;0 ;0.825 ;8.7 ;0.0 ;0 ;2.82 ;
457 ;0:02.57 ;4283 ;0 ;0.816 ;8.7 ;0.0 ;0 ;2.83 ;
457 ;0:02.58 ;4270 ;0 ;0.826 ;8.8 ;0.0 ;0 ;2.83 ;
457 ;0:02.59 ;4256 ;0 ;0.818 ;8.8 ;0.0 ;0 ;2.83 ;
457 ;0:02.60 ;4276 ;0 ;0.826 ;8.8 ;0.0 ;0 ;2.83 ;
457 ;0:02.61 ;4272 ;0 ;0.821 ;8.8 ;0.0 ;0 ;2.83 ;
457 ;0:02.62 ;4253 ;0 ;0.821 ;8.7 ;0.0 ;0 ;2.83 ;
457 ;0:02.63 ;4227 ;0 ;0.848 ;8.7 ;0.0 ;0 ;2.83 ;
457 ;0:02.64 ;4203 ;0 ;0.840 ;8.7 ;0.0 ;0 ;2.83 ;
